check,passed,value,requirement
all_ten_elections_available_in_input,True,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
all_nine_transitions_present,True,"['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']","['K16_to_K17', 'K17_to_K18', 'K18_to_K19', 'K19_to_K20', 'K20_to_K21', 'K21_to_K22', 'K22_to_K23', 'K23_to_K24', 'K24_to_K25']"
no_duplicate_transition_locality_rows,True,0,0
minimum_matched_localities_per_transition,True,1139,>= 1000
minimum_previous_vote_coverage,True,99.08298637462318,>= 95.0%
minimum_current_vote_coverage,True,99.51108904900367,>= 95.0%
previous_compositions_sum_to_100,True,2.842170943040401e-14,<= 1e-6
current_compositions_sum_to_100,True,2.842170943040401e-14,<= 1e-6
percentage_point_deltas_sum_to_zero,True,4.707345624410664e-14,<= 1e-6
inverse_clr_reconstruction_is_precise,True,5.551115123125783e-16,<= 1e-10
clr_coordinates_sum_to_zero,True,1.0658141036401503e-14,<= 1e-10
only_k24_to_k25_is_locked,True,['K24_to_K25'],['K24_to_K25']
development_and_final_test_roles_are_correct,True,"{'K16_to_K17': 'development', 'K17_to_K18': 'development', 'K18_to_K19': 'development', 'K19_to_K20': 'development', 'K20_to_K21': 'development', 'K21_to_K22': 'development', 'K22_to_K23': 'development', 'K23_to_K24': 'development', 'K24_to_K25': 'final_test'}","{'K16_to_K17': 'development', 'K17_to_K18': 'development', 'K18_to_K19': 'development', 'K19_to_K20': 'development', 'K20_to_K21': 'development', 'K21_to_K22': 'development', 'K22_to_K23': 'development', 'K23_to_K24': 'development', 'K24_to_K25': 'final_test'}"
persistence_predictions_equal_previous_shares,True,0.0,<= 1e-12
